date,year,month,business,restricted_economy,best_discount
2024-11-01,2024,11,58.55747844865333,93.21975418162677,68.21530432623638
2024-12-01,2024,12,51.97183278039573,76.18378588929293,87.06344874560085
2025-01-01,2025,1,43.839204233827616,55.22963712551167,62.59068684286409
2025-02-01,2025,2,50.17173991735476,55.46531220271465,64.60289239754792
2025-03-01,2025,3,54.95131021462042,55.8518174020963,64.65649109753221
2025-04-01,2025,4,53.42161534947919,64.10756576507832,72.61018156644099
2025-05-01,2025,5,50.20959360464512,52.54942374665176,56.823295020221494
2025-06-01,2025,6,51.08643263467952,53.16723029738495,64.67860412596866
2025-07-01,2025,7,53.40920970998584,54.39593158786421,60.63120533793206
2025-08-01,2025,8,52.02561976031735,55.032550192971854,60.53528874501642
2025-09-01,2025,9,59.20751933012678,66.24852822578,75.24589123794607
2025-10-01,2025,10,56.95797200148547,60.90974427142748,68.89350467343606
2025-11-01,2025,11,50.89004096158096,56.74027460760659,65.51988680948556
2025-12-01,2025,12,51.02236842451373,61.7917975376356,76.34137700880848
2026-01-01,2026,1,48.51889265247406,52.175855970270874,62.293796837807776
2026-02-01,2026,2,49.44203577212162,57.587516729559,70.00385253050976
2026-03-01,2026,3,52.32610179441955,55.71970292231687,70.62356343965214
2026-04-01,2026,4,51.61976375340506,55.80313510592268,62.32400103732402
2026-05-01,2026,5,52.070115897067424,55.38679414661172,61.029863607411016
